N,seed,completion_rate,completion_time_s,completed_pois,connectivity_availability,communication_downtime_s,PDR,mean_latency_ms,max_latency_ms,detection_reporting_compliance,reports_delivered,reports_deadline_exceeded,relay_reallocations,recovery_time_s,network_reconfiguration_efficiency,uav_failures,task_recovery_after_failure,performance_after_failure,collision_separation_violations,min_observed_separation,geofence_violations,altitude_violations,battery_exhaustion,max_continuous_sortie_duration,final_landing_status,max_poi_distance_m,max_required_hops,mission_success,comm_success,safety_success,endurance_success,landing_success,full_success
1,42,0.4,2700.0,4,0.0568,1145.0,0.8191,6.48,10.0,0.0,0,4,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1077.06,11,False,False,True,True,True,False
1,2026,0.2,2700.0,2,0.0891,1145.0,0.8878,5.92,10.0,0.0,0,3,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1091.79,11,False,False,True,True,True,False
1,1001,0.2,2700.0,2,0.0576,1145.0,0.823,6.45,10.0,0.0,0,2,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,972.39,10,False,False,True,True,True,False
1,2027,0.4,2700.0,4,0.0498,1146.0,0.8009,6.61,9.84,0.0,0,4,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1070.23,11,False,False,True,True,True,False
1,3001,0.2,2700.0,2,0.037,1146.0,0.7266,7.22,9.88,0.0,0,3,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1097.73,11,False,False,True,True,True,False
1,4001,0.3,2700.0,3,0.0545,1146.0,0.8211,6.44,9.77,0.0,0,4,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1027.49,11,False,False,True,True,True,False
1,5001,0.1,2700.0,1,0.1165,1145.0,0.9166,5.68,10.0,0.0,0,1,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1109.38,12,False,False,True,True,True,False
1,6001,0.2,2700.0,2,0.0744,1145.0,0.8627,6.13,10.0,0.0,0,3,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1014.89,11,False,False,True,True,True,False
1,7001,0.2,2700.0,2,0.0361,1147.0,0.7165,7.31,9.96,0.0,0,2,,,,0,N/A,N/A,0,,0,0,0,1186.0,ALL_LANDED,1119.37,12,False,False,True,True,True,False
1,8001,0.3,2700.0,3,0.0345,1146.0,0.7095,7.35,9.82,0.0,0,3,,,,0,N/A,N/A,0,,0,0,0,1185.0,ALL_LANDED,1038.01,11,False,False,True,True,True,False
2,42,0.7,2700.0,7,0.0632,1112.0,0.7299,7.34,17.49,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,1189.0,ALL_LANDED,1077.06,11,False,False,True,True,True,False
2,2026,0.3,2700.0,3,0.104,1075.0,0.7775,6.63,15.9,0.0,0,6,,,,0,N/A,N/A,0,20.01,0,0,0,1189.0,ALL_LANDED,1091.79,11,False,False,True,True,True,False
2,1001,0.5,2700.0,5,0.5907,1116.0,0.8225,6.09,9.95,0.0,0,5,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,False,False,True,False,False,False
2,2027,0.5,2700.0,5,0.6015,1127.0,0.7812,6.41,9.97,0.0,0,6,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
2,3001,0.5,2700.0,5,0.0569,1142.0,0.7329,7.17,15.81,0.0,0,6,,,,0,N/A,N/A,0,20.01,0,0,0,1189.0,ALL_LANDED,1097.73,11,False,False,True,True,True,False
2,4001,0.5,2700.0,5,0.0897,1121.0,0.7719,6.69,15.77,0.0,0,5,,,,0,N/A,N/A,0,20.01,0,0,0,1189.0,ALL_LANDED,1027.49,11,False,False,True,True,True,False
2,5001,0.2,2700.0,2,0.6213,1023.0,0.6133,8.24,19.58,0.0,0,2,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
